date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:58:43	2707/2707	U--MC-	200	updated ('OK')	application/json	date:Tue,%2008%20Jun%202021%2012:58:32%20GMT	http://blackboxjumper.maweb.eu/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fblackboxjumper.maweb.eu%2Fwiki%2Fversions%2F1-4-2%2F	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/wp-json/oembed/1.0/embedc104.json	(from http://blackboxjumper.maweb.eu/wiki/versions/1-4-2/)
14:58:43	3188/3188	U--M-Z	200	updated ('OK')	text/css	etag:%22c74-5c4408acacd68-gzip%22	http://blackboxjumper.maweb.eu/wp-content/cache/autoptimize/css/autoptimize_single_2d5446fc2d92c6c74ec3837550ddf53c.css?ver=1623156368	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/wp-content/cache/autoptimize/css/autoptimize_single_2d5446fc2d92c6c74ec3837550ddf53cfcba.css	(from http://blackboxjumper.maweb.eu/wiki/versions/1-4-1/)
14:58:45	2815/2815	U--MCZ	200	updated ('OK')	text/xml	date:Tue,%2008%20Jun%202021%2012:58:33%20GMT	http://blackboxjumper.maweb.eu/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fblackboxjumper.maweb.eu%2Fwiki%2Fversions%2F1-4-2%2F&format=xml	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/wp-json/oembed/1.0/embed4a51	(from http://blackboxjumper.maweb.eu/wiki/versions/1-4-2/)
14:58:45	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2008%20Jun%202021%2012:58:34%20GMT	http://blackboxjumper.maweb.eu/?p=674	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/index030b.html	(from http://blackboxjumper.maweb.eu/wiki/versions/1-4-1/)
14:58:45	1468/1468	U--M-Z	200	updated ('OK')	text/css	etag:%225bc-5c4189529ad4d-gzip%22	http://blackboxjumper.maweb.eu/wp-content/cache/autoptimize/css/autoptimize_single_8bc96f89b28be02ce6fc0ae380802fdb.css?ver=1622984744	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/wp-content/cache/autoptimize/css/autoptimize_single_8bc96f89b28be02ce6fc0ae380802fdb414e.css	(from http://blackboxjumper.maweb.eu/wiki/versions/1-4/)
14:58:46	2620/2620	U--MC-	200	updated ('OK')	application/json	date:Tue,%2008%20Jun%202021%2012:58:34%20GMT	http://blackboxjumper.maweb.eu/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fblackboxjumper.maweb.eu%2Fwiki%2Fversions%2F1-4-1%2F	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/wp-json/oembed/1.0/embed2ae5.json	(from http://blackboxjumper.maweb.eu/wiki/versions/1-4-1/)
14:58:46	14313/14313	U--MC-	200	updated ('OK')	application/json	date:Tue,%2008%20Jun%202021%2012:58:34%20GMT	http://blackboxjumper.maweb.eu/wp-json/wp/v2/pages/674	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/wp-json/wp/v2/pages/674.json	(from http://blackboxjumper.maweb.eu/wiki/versions/1-4-1/)
14:58:47	2728/2728	U--MCZ	200	updated ('OK')	text/xml	date:Tue,%2008%20Jun%202021%2012:58:35%20GMT	http://blackboxjumper.maweb.eu/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fblackboxjumper.maweb.eu%2Fwiki%2Fversions%2F1-4-1%2F&format=xml	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/wp-json/oembed/1.0/embedc4cb	(from http://blackboxjumper.maweb.eu/wiki/versions/1-4-1/)
14:58:48	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2008%20Jun%202021%2012:58:38%20GMT	http://blackboxjumper.maweb.eu/?p=425	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/index27ac.html	(from http://blackboxjumper.maweb.eu/wiki/versions/1-4/)
14:58:49	23138/23138	U--MC-	200	updated ('OK')	application/json	date:Tue,%2008%20Jun%202021%2012:58:37%20GMT	http://blackboxjumper.maweb.eu/wp-json/wp/v2/pages/425	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/wp-json/wp/v2/pages/425.json	(from http://blackboxjumper.maweb.eu/wiki/versions/1-4/)
14:58:49	2780/2780	U--MC-	200	updated ('OK')	application/json	date:Tue,%2008%20Jun%202021%2012:58:38%20GMT	http://blackboxjumper.maweb.eu/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fblackboxjumper.maweb.eu%2Fwiki%2Fversions%2F1-4%2F	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/wp-json/oembed/1.0/embed3afe.json	(from http://blackboxjumper.maweb.eu/wiki/versions/1-4/)
14:58:49	2887/2887	U--MCZ	200	updated ('OK')	text/xml	date:Tue,%2008%20Jun%202021%2012:58:39%20GMT	http://blackboxjumper.maweb.eu/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fblackboxjumper.maweb.eu%2Fwiki%2Fversions%2F1-4%2F&format=xml	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/wp-json/oembed/1.0/embedd964	(from http://blackboxjumper.maweb.eu/wiki/versions/1-4/)
