date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:36:41	2699/2699	U--MCZ	200	updated ('OK')	text/xml	date:Sun,%2006%20Jun%202021%2016:36:31%20GMT	http://blackboxjumper.maweb.eu/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fblackboxjumper.maweb.eu%2F&format=xml	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/wp-json/oembed/1.0/embeddaf1	(from http://blackboxjumper.maweb.eu/)
18:36:42	113730/113730	U--MC-	200	updated ('OK')	application/json	date:Sun,%2006%20Jun%202021%2016:36:26%20GMT	http://blackboxjumper.maweb.eu/wp-json/	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/wp-json/index.html	(from http://blackboxjumper.maweb.eu/)
18:36:43	20740/20740	U--MCZ	200	updated ('OK')	text/html	date:Sun,%2006%20Jun%202021%2016:36:33%20GMT	http://blackboxjumper.maweb.eu/wiki/	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/wiki/index.html	(from http://blackboxjumper.maweb.eu/)
18:36:44	190360/190360	U-----	200	untouched ('')	application/vnd.ms-fontobject	etag:%222e798-5b98187062281%22	http://blackboxjumper.maweb.eu/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.eot?5.9.1	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/wp-content/plugins/elementor/assets/lib/eicons/fonts/eiconsc2cd.eot	(from http://blackboxjumper.maweb.eu/wp-content/cache/autoptimize/css/autoptimize_7822552a8c9860659ffc48c32eb3e63d.css)
18:36:44	699/699	U-----	200	untouched ('OK')	image/svg+xml	etag:%222bb-5c0674d832999%22	http://blackboxjumper.maweb.eu/wp-content/plugins/essential-addons-for-elementor-lite/assets/admin/images/templately/logo-icon.svg	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/wp-content/plugins/essential-addons-for-elementor-lite/assets/admin/images/templately/logo-icon.svg	(from http://blackboxjumper.maweb.eu/wp-content/cache/autoptimize/css/autoptimize_7822552a8c9860659ffc48c32eb3e63d.css)
18:36:45	378/378	---M-Z	200	added ('OK')	text/css	etag:%2217a-5c41b87159120-gzip%22	http://blackboxjumper.maweb.eu/wp-content/cache/autoptimize/css/autoptimize_single_c937c362719eae8e09a5a51db9557333.css?ver=1622997392	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/wp-content/cache/autoptimize/css/autoptimize_single_c937c362719eae8e09a5a51db9557333e80f.css	(from http://blackboxjumper.maweb.eu/wiki/)
18:36:47	14704/14704	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2006%20Jun%202021%2016:36:36%20GMT	http://blackboxjumper.maweb.eu/wp-content/uploads/img/bg.jpg	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/wp-content/uploads/img/bg.html	(from http://blackboxjumper.maweb.eu/wp-content/uploads/essential-addons-elementor/734e5f942.min.css?ver=1622997375)
18:36:50	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2006%20Jun%202021%2016:36:41%20GMT	http://blackboxjumper.maweb.eu/?p=18	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/index0735.html	(from http://blackboxjumper.maweb.eu/wiki/)
18:36:52	6501/6501	U--MC-	200	updated ('OK')	application/json	date:Sun,%2006%20Jun%202021%2016:36:41%20GMT	http://blackboxjumper.maweb.eu/wp-json/wp/v2/pages/18	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/wp-json/wp/v2/pages/18.json	(from http://blackboxjumper.maweb.eu/wiki/)
18:36:52	2356/2356	U--MC-	200	updated ('OK')	application/json	date:Sun,%2006%20Jun%202021%2016:36:42%20GMT	http://blackboxjumper.maweb.eu/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fblackboxjumper.maweb.eu%2Fwiki%2F	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/wp-json/oembed/1.0/embed3c9d.json	(from http://blackboxjumper.maweb.eu/wiki/)
