Submission Date,status,Name,Game version,Level,Score,Gold,Screenshot/Video,Date,Number of mutators,Game version 2,Used weapon,Mutators,Used perks,Submission ID
2023-08-03 15:40:56,a,ToGreedy,Early access,Durststein,31750,384,https://www.youtube.com/watch?v=ywTwphwPZKo,03/08/2023 15:38,6,unknown,Spear,"Tiger god
Snake god
Falcon god
God of destruction
Wasp god
God of death","Castle fortifications, Royal mint, Arcane towers",5668792567243616188
2023-08-04 2:14:38,o,Anael,Early access,Nordfels,32058,334,https://www.youtube.com/watch?v=IvLhouTMPMA,03/08/2023 21:11,unknown,unknown,unknown,,,5669172784416797195
2023-08-04 2:16:05,r,Anael,Early access,Durststein,38621,590,https://www.youtube.com/watch?v=CeCehw6Gh0A,03/08/2023 21:14,unknown,unknown,unknown,,,5669173654414391117
2023-08-04 2:17:32,o,Anael,Early access,Frostsee,24280,96,https://www.youtube.com/watch?v=OU6guPbp-RU,03/08/2023 21:15,unknown,unknown,unknown,,,5669174524416574377
2023-08-04 16:01:24,o,ToGreedy,Early access,Neuland,5186,65,https://www.youtube.com/watch?v=cmjjoo9PNUY,04/08/2023 16:00,0,unknown,unknown,None,,5669668847242218720
2023-08-04 18:18:59,a,MrLlama,Early access,Neuland,5066,70,https://cdn.discordapp.com/attachments/1117853463045476382/1137056987671171113/image.png,04/08/2023 12:17,0,unknown,Bow,None,,5669751398845557650
2023-08-04 20:44:53,a,mkktbkkt,Demo,Nordfels,14624,297,https://i.postimg.cc/bwLHgdtz/Desktop-Screenshot-2023-08-02-22-33-51-66.png,02/08/2023 22:33,unknown,unknown,unknown,,,5669838931327510833
2023-08-04 21:09:49,a,ToGreedy,Early access,Neuland,5191,61,https://www.youtube.com/watch?v=15EhLDymKOM,04/08/2023 21:08,0,unknown,Bow,None,,5669853897242728201
2023-08-04 21:19:16,o,GhostMiner,Early access,Nordfels,7846,73,http://img/scores/ea-nf,04/08/2023 21:16,unknown,unknown,unknown,,,5669859563521143096
2023-08-05 9:49:46,a,mkktbkkt,Early access,Nordfels,29224,242,https://i.postimg.cc/SKGLSJxH/Desktop-Screenshot-2023-08-04-18-11-15-37.png,04/08/2023 18:11,unknown,unknown,unknown,,,5670309861327922884
2023-08-05 16:35:00,a,donner,Early access,Nordfels,30765,268,https://www.youtube.com/watch?v=vgwUyaSSwcg,05/08/2023 15:33,6,unknown,Spear,"Tiger god
Snake god
Falcon god
God of destruction
Wasp god
God of death","Heavy armour, War horse, Glass cannon",5670553005114138699
2023-08-05 17:26:38,r,ItsMeRaven,Early access,Durststein,39033,616,https://youtu.be/H7Xsnfj7fMg,05/08/2023 0:01,unknown,unknown,unknown,,,5670583983595702380
2023-08-05 18:13:38,a,ItsMeRaven,Early access,Neuland,5208,65,https://youtu.be/iOeDhffHtEE,05/08/2023 18:13,0,unknown,Bow,None,,5670612183592720178
2023-08-05 21:53:34,o,LTU Adas,Early access,Nordfels,34048,255,https://cdn.discordapp.com/attachments/1125745065051029514/1142069097618735164/wteb0kD.png,05/08/2023 22:50,unknown,unknown,unknown,,,5670744147712099011
2023-08-05 23:42:52,a,Anael,Early access,Neuland,5240,65,https://www.youtube.com/watch?v=oUCOakw2l1Y,05/08/2023 18:42,0,unknown,Bow,None,,5670809724411322082
2023-08-06 4:14:22,a,polill00,Early access,Neuland,5177,61,https://cdn.discordapp.com/attachments/1125745065051029514/1142069261033033778/cQjUUUf.png,05/08/2023 20:11,0,unknown,Bow,None,,5670972629252066421
2023-08-06 23:34:37,o,ItsMeRaven,Early access,Durststein,34865,480,https://prnt.sc/WhC_0W_wEcFe,06/08/2023 23:33,unknown,unknown,unknown,,,5671668770486992937
2023-08-07 0:21:50,o,Anael,Early access,Frostsee,26214,156,https://www.youtube.com/watch?v=Po7QCHq6ot4,06/08/2023 19:20,unknown,unknown,unknown,,,5671697104414109250
2023-08-07 5:11:37,a,Anael,Early access,Durststein,36543,523,https://www.youtube.com/watch?v=xOxx4XTmhDQ,07/08/2023 0:10,6,unknown,Spear,"Tiger god
Snake god
Falcon god
God of destruction
Wasp god
God of death","Royal mint, castle fortifications, Glass cannon",5671870974416950063
2023-08-07 18:15:28,o,LTU Adas,Early access,Frostsee,24865,122,https://cdn.discordapp.com/attachments/1125745065051029514/1142069454608551987/TxcNOvV.png,07/08/2023 19:10,unknown,unknown,unknown,,,5672341287816812817
2023-08-07 22:37:39,a,LTU Adas,Early access,Neuland,5209,65,https://www.youtube.com/watch?v=BeF_U63oa-g,07/08/2023 20:35,0,unknown,Bow,None,,5672498597817743122
2023-08-08 4:35:46,a,Conq,Early access,Neuland,5124,58,https://cdn.discordapp.com/attachments/1125745065051029514/1142069747148668949/image.png,08/08/2023 14:34,0,unknown,Bow,None,,5672713468415598818
2023-08-08 15:35:18,o,ItsMeRaven,Early access,Durststein,36767,536,https://youtu.be/Tg-9ZRt6Ed4,08/08/2023 15:34,unknown,unknown,unknown,,,5673109183716373920
2023-08-08 20:41:24,o,Anael,Early access,Nordfels,37008,291,https://www.youtube.com/watch?v=4v1ONP9TnoM,08/08/2023 15:39,unknown,unknown,unknown,,,5673292844419177833
2023-08-09 2:20:08,o,Anael,Early access,Frostsee,26991,184,https://www.youtube.com/watch?v=L8c4C2nPdg4,08/08/2023 21:19,unknown,unknown,unknown,,,5673496084418256537
2023-08-10 15:32:21,a,donner,Early access,Durststein,36053,512,https://www.youtube.com/watch?v=ggpTGKuA7uI,10/08/2023 14:31,6,unknown,Spear,"Tiger god
Snake god
Falcon god
God of destruction
Wasp god
God of death","Royal mint, Elite warrios, Treasure hunter",5674835415112516079
2023-08-10 18:15:24,o,Anael,Early access,Frostsee,27424,203,https://www.youtube.com/watch?v=IF-GYLt2V7A,10/08/2023 13:14,unknown,unknown,unknown,,,5674933244414882334
2023-08-11 11:58:52,o,LTU Adas,Early access,Frostsee,26600,184,https://youtu.be/uPHTr1ppdAQ,10/08/2023 10:30,unknown,unknown,unknown,,,5675571323716046991
2023-08-11 19:14:08,a,MJ,Early access,Nordfels,23506,60,https://cdn.discordapp.com/attachments/1125745065051029514/1142069919454875738/Nordfels-1.png,12/08/2023 1:10,unknown,unknown,unknown,,,5675832489216687149
2023-08-11 21:51:28,a,lolidoli,Early access,Neuland,5231,65,https://www.youtube.com/watch?v=1yu1NCtVpxc,11/08/2023 19:40,0,unknown,Bow,None,,5675926882905833854
2023-08-12 12:46:53,o,Morry4C,Early access,Frostsee,28367,240,https://youtu.be/GNKS0jIT1Oo,12/08/2023 18:36,unknown,unknown,unknown,,,5676464130287824139
2023-08-13 0:34:19,r,Froggurto,Early access,Nordfels,31261,285,https://imgur.com/pPGsEis,12/08/2023 21:40,unknown,unknown,unknown,,,5676888597812348613
2023-08-13 9:41:45,o,Morry4C,Early access,Frostsee,30676,323,https://youtu.be/78fHfGybE8k,13/08/2023 15:40,unknown,unknown,unknown,,,5677217050288019562
2023-08-13 13:20:20,a,LTU Adas,Early access,Durststein,34524,501,https://cdn.discordapp.com/attachments/1125745065051029514/1142070507601141891/nmNPPJv.png,13/08/2023 14:16,unknown,unknown,unknown,,,5677348203711549049
2023-08-13 18:37:16,o,Termii,Early access,Frostsee,28278,231,https://www.youtube.com/watch?v=zkpKkA3dzq0,13/08/2023 18:06,unknown,unknown,unknown,,,5677538364684410741
2023-08-14 23:56:00,o,Anael,Early access,Frostsee,31816,353,https://www.youtube.com/watch?v=O3HSQt-P4tI,14/08/2023 18:54,unknown,unknown,unknown,,,5678593600129833150
